Format Version,1.24,Take Name,Take 2025-12-05 04.42.50 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-12-05 04.42.51.191 PM,Capture Start Frame,1038231,Total Frames in Take,3273,Total Exported Frames,3273,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

Frame,Time (seconds),R.x,R.y,R.z,R.w,P.x,P.y,P.z
101,1.010000,-0.009511,0.000887,-0.721118,0.692747,-357.742371,1437.140747,110.474480
102,1.020000,-0.009593,0.000879,-0.721176,0.692685,-357.756866,1437.139038,110.486320
103,1.030000,-0.009578,0.000841,-0.721196,0.692664,-357.746429,1437.136963,110.483330
104,1.040000,-0.009413,0.000888,-0.721046,0.692823,-357.744049,1437.140991,110.474205
105,1.050000,-0.009569,0.000895,-0.721085,0.692780,-357.740692,1437.140869,110.467293
106,1.060000,-0.009589,0.000760,-0.721157,0.692705,-357.738342,1437.134277,110.467728
107,1.070000,-0.009451,0.000837,-0.721115,0.692751,-357.736206,1437.132935,110.474159
108,1.080000,-0.009629,0.000834,-0.721210,0.692649,-357.762268,1437.134521,110.483063
109,1.090000,-0.009577,0.000923,-0.721245,0.692613,-357.761444,1437.135376,110.484734
110,1.100000,-0.009613,0.000864,-0.721125,0.692737,-357.747223,1437.136719,110.477669
111,1.110000,-0.009540,0.000849,-0.721087,0.692778,-357.738037,1437.131226,110.468613
112,1.120000,-0.009559,0.000856,-0.721083,0.692782,-357.739349,1437.143555,110.472237
113,1.130000,-0.009621,0.000917,-0.721189,0.692671,-357.741058,1437.144165,110.484619
114,1.140000,-0.009519,0.000863,-0.721166,0.692696,-357.743713,1437.143555,110.478287
115,1.150000,-0.009574,0.000997,-0.721127,0.692736,-357.754028,1437.153687,110.485023
116,1.160000,-0.009539,0.000804,-0.721305,0.692552,-357.761230,1437.136230,110.482071
117,1.170000,-0.009531,0.000769,-0.721169,0.692693,-357.751587,1437.136353,110.468285
118,1.180000,-0.009432,0.000877,-0.721073,0.692794,-357.748260,1437.145630,110.469177
119,1.190000,-0.009592,0.000914,-0.721161,0.692701,-357.746246,1437.145386,110.474236
120,1.200000,-0.009462,0.000853,-0.721155,0.692709,-357.744476,1437.146973,110.480278
121,1.210000,-0.009479,0.000752,-0.721172,0.692691,-357.764282,1437.139160,110.486183
