Frame,Time (seconds),R.x,R.y,R.z,R.w,P.x,P.y,P.z,omegas.x,omegas.y,omegas.z,omega
59,0.59,-0.005421,-0.004336,-0.714696,0.699401,-13.914873,-570.837585,106.482002,0.0581794573487498,-0.004320677667370935,0.18501509029985597,0.19399510599900238
60,0.6,-0.004958,-0.004275,-0.714744,0.699356,-13.895861,-570.852905,106.468689,0.05595479946566154,0.0747265228955342,-0.01348188441402387,0.0943226060637231
61,0.61,-0.004772,-0.004585,-0.71469,0.69941,-13.906935,-570.834412,106.470901,0.07042986660943913,-0.016778966599281797,0.014805849587340436,0.07389934379117416
62,0.62,-0.004544,-0.004728,-0.714804,0.699294,-13.926133,-570.822876,106.459656,0.05211798688525915,0.012589168876661009,-0.03287291453361041,0.06289197277801985
63,0.63,-0.004742,-0.004692,-0.714746,0.699352,-13.933816,-570.810059,106.462425,-0.03273108541640623,-0.02326919389431456,0.016623487182410024,0.04346400422339199
64,0.64,-0.006718,-0.003817,-0.714458,0.699636,-13.964697,-570.815308,106.518097,-0.40092484896052466,-0.16008765014888462,0.0835643750161541,0.4397178584229342
65,0.65,-0.005103,-0.004358,-0.714851,0.699244,-13.905668,-570.838013,106.477798,0.30246013309538683,0.15529813001293147,-0.11296469664965336,0.35827456508485317
66,0.66,-0.005658,-0.00424,-0.714721,0.699374,-13.942847,-570.831909,106.494926,-0.09424061709145097,-0.06286569627551074,0.037370652873969235,0.11928937661924867
67,0.67,-0.004712,-0.004672,-0.714672,0.699428,-13.899384,-570.814697,106.468575,0.19417614121408563,0.07478965383595085,0.01328179468883528,0.2085048493629111
68,0.68,-0.00608,-0.004019,-0.71473,0.699362,-13.941448,-570.846802,106.510414,-0.284816210830983,-0.1041960296574134,-0.0156533972215378,0.3036809434144046
69,0.69,-0.004951,-0.004374,-0.714754,0.699344,-13.903852,-570.842346,106.490814,0.20862077254325323,0.11174614516366119,-0.007269142146570928,0.23677556487743598
70,0.7,-0.00538,-0.004385,-0.715061,0.699027,-13.972459,-570.856262,106.524673,-0.05901376922100663,-0.06283782963817773,-0.08789081133574461,0.12310975797459084
71,0.71,-0.005324,-0.004429,-0.714773,0.699322,-13.929986,-570.828308,106.50499,0.014691643902558973,0.00180607366982357,0.08235614698345328,0.08367581041508107
72,0.72,-0.004329,-0.004721,-0.714803,0.699296,-13.884464,-570.819824,106.470322,0.18085366053689697,0.1014083904273889,-0.00910504914064525,0.20754423648591755
73,0.73,-0.004853,-0.004352,-0.714947,0.699148,-13.863935,-570.86731,106.498665,-0.12630285595700894,-0.023318389026433586,-0.04048367521556351,0.13466657584064531
74,0.74,-0.005808,-0.00402,-0.714728,0.699367,-13.912008,-570.848877,106.524872,-0.18060658441442137,-0.09015340089508164,0.06309083730521303,0.21148718112137596
75,0.75,-0.005352,-0.004223,-0.714849,0.699246,-13.919056,-570.849487,106.517845,0.0925623550331915,0.036832149245273615,-0.034823514795356836,0.10553233613456654
76,0.76,-0.005292,-0.004349,-0.714827,0.699268,-13.909192,-570.845581,106.505951,0.026447265774558193,-0.009047775028127227,0.006036469083481322,0.02859648682802742
77,0.77,-0.00474,-0.004523,-0.714773,0.699326,-13.90391,-570.829529,106.489929,0.10218349684932848,0.05457565512624815,0.015179792485486843,0.11683490600295078
78,0.78,-0.004568,-0.004554,-0.71485,0.699248,-13.887711,-570.826904,106.474754,0.028344807177571943,0.020254806040635558,-0.022105057134713668,0.041259166407071966
79,0.79,-0.005012,-0.004276,-0.715054,0.699038,-13.898332,-570.886292,106.496429,-0.10221655968088282,-0.024605389152398092,-0.05789465264086635,0.12002266891193097
80,0.8,-0.005087,-0.004515,-0.714673,0.699426,-13.903599,-570.826477,106.475914,0.02440877064801691,-0.044189917855696516,0.10857943926846358,0.11974151976860269
81,0.81,-0.00444,-0.004566,-0.715019,0.699076,-13.913033,-570.852661,106.469093,0.09712683791819861,0.08538049110967064,-0.09906349405794934,0.16290189305556255
